Country;fillKey;Ja;Nej
DZA;40;35.2;64.8
AZE;40;39.7;60.3
ARG;30;25,1;74,9
AUS;50;50,3;49,7
ARM;30;32,8;67,2
BRA;30;28,2;71,8
BLR;40;35,1;64,9
CHL;50;53,6;46,4
CHN;30;26;74
TWN;30;28;72
COL;20;24,3;75,7
CYP;40;41;59
ECU;30;25,4;74,6
EST;70;69,4;30,6
GEO;20;24,7;75,3
PSE;20;20;80
DEU;60;59,6;40,3
GHA;50;45,9;54,1
HTI;30;31,5;68,4
HKG;40;43;57
IND;80;84,7;15,3
IRQ;20;22,2;77,8
JPN;70;67,8;32,2
KAZ;40;44,7;55,3
JOR;30;27,4;72,6
KOR;50;54,5;45,5
KWT;30;28,4;71,6
KGZ;50;51,9;48,1
LBN;30;30,8;69,2
LBY;30;25,2;74,8
MYS;40;40,1;59,9
MEX;30;27;73
MAR;20;19,2;80,8
NLD;40;37,1;62,9
NZL;50;48,5;51,5
NGA;40;36,9;63,1
PAK;40;35,9;64,1
PER;20;23,4;76,6
PHL;30;29,9;70,1
POL;20;19,3;80,7
QAT;20;18,1;81,9
ROU;30;29,9;70,1
RUS;50;45,4;54,2
RWA;40;35,4;64,6
SGP;40;44,3;55,7
SVN;70;65,2;34,8
ZAF;40;35,3;64,7
ZWE;50;49,4;50,6
ESP;40;37,5;62,5
SWE;30;33,6;66,4
THA;50;50,3;49,7
TTO;30;26;74
TUN;30;28,7;71,3
TUR;40;38;62
UKR;40;39,4;60,6
EGY;20;17,8;82,2
USA;40;35,7;64,3
URY;40;35;65
UZB;60;56,7;43,3
YEM;30;30,5;69,5
