id,Country,fillKey,Yes,No
DZA,Algeria,40,"35,2","64,8"
AZE,Azerbaijan,40,"39,7","60,3"
ARG,Argentina,30,"25,1","74,9"
AUS,Australia,50,"50,3","49,7"
ARM,Armenia,30,"32,8","67,2"
BRA,Brazil,30,"28,2","71,8"
BLR,Belarus,40,"35,1","64,9"
CHL,Chile,50,"53,6","46,4"
CHN,China,30,26,74
TWN,Taiwan,30,28,72
COL,Colombia,20,"24,3","75,7"
CYP,Cyprus,40,41,59
ECU,Ecuador,30,"25,4","74,6"
EST,Estonia,70,"69,4","30,6"
GEO,Georgia,20,"24,7","75,3"
PSE,Palestine,20,20,80
DEU,Germany,60,"59,6","40,3"
GHA,Ghana,50,"45,9","54,1"
HTI,Haiti,30,"31,5","68,4"
HKG,Hong Kong,40,43,57
IND,India,80,"84,7","15,3"
IRQ,Iraq,20,"22,2","77,8"
JPN,Japan,70,"67,8","32,2"
KAZ,Kazakhstan,40,"44,7","55,3"
JOR,Jordan,30,"27,4","72,6"
KOR,South Korea,50,"54,5","45,5"
KWT,Kuwait,30,"28,4","71,6"
KGZ,Kyrgyzstan,50,"51,9","48,1"
LBN,Lebanon,30,"30,8","69,2"
LBY,Libya,30,"25,2","74,8"
MYS,Malaysia,40,"40,1","59,9"
MEX,Mexico,30,27,73
MAR,Morocco,20,"19,2","80,8"
NLD,Netherlands,40,"37,1","62,9"
NZL,New Zealand,50,"48,5","51,5"
NGA,Nigeria,40,"36,9","63,1"
PAK,Pakistan,40,"35,9","64,1"
PER,Peru,20,"23,4","76,6"
PHL,Philippines,30,"29,9","70,1"
POL,Poland,20,"19,3","80,7"
QAT,Qatar,20,"18,1","81,9"
ROU,Romania,30,"29,9","70,1"
RUS,Russia,50,"45,4","54,2"
RWA,Rwanda,40,"35,4","64,6"
SGP,Singapore,40,"44,3","55,7"
SVN,Slovenia,70,"65,2","34,8"
ZAF,South Africa,40,"35,3","64,7"
ZWE,Zimbabwe,50,"49,4","50,6"
ESP,Spain,40,"37,5","62,5"
SWE,Sweden,30,"33,6","66,4"
THA,Thailand,50,"50,3","49,7"
TTO,Trinidad and Tobago,30,26,74
TUN,Tunisia,30,"28,7","71,3"
TUR,Turkey,40,38,62
UKR,Ukraine,40,"39,4","60,6"
EGY,Egypt,20,"17,8","82,2"
USA,United States,40,"35,7","64,3"
URY,Uruguay,40,35,65
UZB,Uzbekistan,60,"56,7","43,3"
YEM,Yemen,30,"30,5","69,5"
Tot,Total,40,"39,5","60,5"
